t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW
241.23,0.960750805303062,0.96075080524578,0.960750805329326,66.962829021484,66.962829021484,25.7123657809387,6.64915039842045,37.316108980572,22.9975696424915,0,1,1.00008647241847,0,0,0.0419811071064583,5.98230776267031
241.24,0.960314211532412,0.960314211472408,0.960314211558653,67.9219999326211,67.9219999326211,26.0239181490586,7.6512003763701,37.2940894182491,22.976710138002,0,1,0.999900809254979,0,0,0.0432185053762902,6.15863701612135
241.25,0.959870176855011,0.959870176792495,0.95987017688155,67.9429519090962,67.9429519090962,26.0270292439159,7.71577019893255,37.2716917745183,22.9554899356454,0,1,0.999890003014244,0,0,0.0513349722051424,7.31523353923279
241.26,0.959473464530385,0.959473464465388,0.959473464556768,67.1408106795356,67.1408106795356,25.7599945186257,6.95261462043142,37.251622975236,22.9365730838681,0,1,1.00001127025076,0,0,0.0597928789783906,8.52048525442065
241.27,0.959056390284279,0.959056390217692,0.959056390312006,67.8190471294148,67.8190471294148,25.9793625350003,7.67197399284398,37.2305164335609,22.9165567030099,0,1,0.999930386148474,0,0,0.0472259477431634,6.72969755340078
241.28,0.958697975460237,0.958697975391428,0.958697975487239,68.5885325411377,68.5885325411377,26.2292135613504,8.47678085367327,37.2123278236283,22.8994238638361,0,1,0.999786247852201,0,0,0.064320212652678,9.16563030300662
241.29,0.958338649215662,0.958338649145981,0.95833864924346,67.2889481100459,67.2889481100459,25.7989753778799,7.21276499653988,37.1940257492654,22.8821573642407,0,1,1.00007066974941,0,0,0.0487268689574326,6.94357882643414
241.3,0.957984346154414,0.957984346082686,0.957984346182479,68.6498753209245,68.6498753209245,26.2432573806731,8.60867089963766,37.1760329571363,22.8651714641505,0,1,0.999840478549566,0,0,0.0484368925007234,6.90225718135309
241.31,0.957675285206488,0.957675285133002,0.957675285234371,68.3694685698303,68.3694685698303,26.1484335118592,8.35879240121643,37.1602672655157,22.8504089030981,0,1,0.999878179542739,0,0,0.0659834005360317,9.40263457638452
241.32,0.957374989146537,0.957374989071965,0.957374989174156,67.7910374901808,67.7910374901808,25.955719100949,7.81017113279159,37.1448872111706,22.8359791462186,0,1,1.00001880139339,0,0,0.0574601946045721,8.18807773115152
