t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW
144.72,0.972090480489581,0.972090480763046,0.972090480752634,276.782020974378,276.782020974378,65.4221947063214,175.270795719081,73.5110929309743,28.0001323243228,0,1,1.00031587286357,0,0,0.914858768982532,167.419154723803
144.73,0.972031767082447,0.972031767355697,0.972031767345464,278.9041686647,278.9041686647,65.4621231354531,177.399641180548,73.5077901748714,27.9967373092805,0,1,1.00000308184897,0,0,0.931239838169773,170.416890385068
144.74,0.971985116931186,0.971985117204131,0.97198511719402,278.877376956891,278.877376956891,65.4951719531637,177.378086245794,73.5053518253713,27.993938885726,0,1,0.999994101837312,0,0,0.923902838597359,169.074219463317
144.75,0.971937617163015,0.971937617436345,0.971937617426671,277.231855155559,277.231855155559,65.5287012812271,175.737918955673,73.5028378406342,27.9910983592524,0,1,1.00016782974056,0,0,0.914860235722424,167.419423137204
144.76,0.97193216715356,0.971932167426681,0.971932167416698,278.114986056598,278.114986056598,65.5321053348558,176.620239310091,73.5038861168409,27.990860629666,0,1,0.999984982262608,0,0,0.93582538990521,171.256046352653
144.77,0.9719303454952,0.971930345768028,0.971930345758727,278.157244455416,278.157244455416,65.5354417633566,176.661555432528,73.5050558702874,27.9906331526008,0,1,1.0000031969227,0,0,0.932144764947664,170.582491985423
144.78,0.971920799797371,0.971920800070059,0.971920800060968,278.658674131452,278.658674131452,65.5434291681527,177.163024719544,73.5056466837023,27.9900027282059,0,1,0.999947869384434,0,0,0.938613184004563,171.766212672835
144.79,0.971933128164612,0.971933128437406,0.97193312842777,276.841889187021,276.841889187021,65.5365741833256,175.343236367807,73.5079979896323,27.9906548295813,0,1,1.00014306365322,0,0,0.928968528237998,170.001240667554
144.8,0.97195537238706,0.971955372658494,0.971955372648905,278.508011504062,278.508011504062,65.5224130055718,177.004840184923,73.5112323977933,27.991938921346,0,1,0.999926339550938,0,0,0.941362421104188,172.269323062066
144.81,0.972003011902771,0.972003012175386,0.972003012166814,277.450270183696,277.450270183696,65.4922802285056,175.939236622608,73.5164277395,27.9946058215884,0,1,1.00006121759034,0,0,0.933564506931283,170.842304768425
144.82,0.972069306171297,0.972069306442904,0.972069306434546,278.717326727399,278.717326727399,65.4506754279519,177.195964580568,73.5230935945313,27.9982685522993,0,1,0.999975092341243,0,0,0.924228312080518,169.133781110735
144.83,0.972138921305121,0.972138921576812,0.972138921568591,281.679158514826,281.679158514826,65.4069893690042,180.146995940207,73.5300494837908,28.0021130908286,0,1,0.999694803272943,0,0,0.945681401020437,173.05969638674
144.84,0.972229439810959,0.972229440082722,0.972229440074563,282.158473151688,282.158473151688,65.3516919135003,180.612978066114,73.5385278969843,28.0069671885893,0,1,0.999767950932573,0,0,0.948037007223518,173.490772321904
144.85,0.972340411213083,0.972340411484703,0.97234041147712,278.192670368448,278.192670368448,65.2799265637517,176.630606966256,73.5488234009355,28.0132400012558,0,1,1.0002056548962,0,0,0.93753781103242,171.569419418933
144.86,0.972477259530952,0.972477259802122,0.97247725979428,280.55714042539,280.55714042539,65.1906817825995,178.974802256567,73.5613088583461,28.0210293104769,0,1,0.999944290680094,0,0,0.94231281003721,172.443244236809
144.87,0.973066886299264,0.973066886570297,0.97306688655809,180.489728405266,180.489728405266,64.7441048357337,78.8172511159989,73.6128782175532,28.0595990717137,0,1,1.00901119785283,0,0,0.432604296340007,79.1665862302213
144.88,0.973988456157379,0.973988456422352,0.973988456404874,179.332670156763,179.332670156763,64.0267801920359,77.5156144526082,73.6954557843656,28.1215999197897,0,1,1.00589211273481,0,0,0.428062422223395,78.3354232668812
144.89,0.974936893659105,0.974936893919153,0.974936893898017,183.181869350698,183.181869350698,63.3008743251493,81.2181399934886,73.7793039941878,28.1844253630219,0,1,1.00334533691243,0,0,0.431907715625342,79.0391119594377
144.9,0.975882261028492,0.975882261285683,0.975882261260022,181.382779376798,181.382779376798,62.5838211139479,79.2741206847805,73.8621040637022,28.2465546283151,0,1,1.00213125149133,0,0,0.418004006804077,76.4947332451461
144.91,0.97663350986591,0.976633510121251,0.976633510091957,180.443097738787,180.443097738787,61.9992110261473,78.2171455283783,73.9287262784596,28.2972259319487,0,1,1.00119636575598,0,0,0.417306633221502,76.3671138795348
144.92,0.97743354141788,0.977433541669528,0.977433541633675,184.619935566942,184.619935566942,61.3894681823352,82.2711746084282,73.9986195018262,28.3501414566874,0,1,1.00011133109228,0,0,0.434272081564723,79.4717909263443
144.93,0.978198753704254,0.978198753954512,0.97819875391546,183.724368947682,183.724368947682,60.8103544096485,81.2590508899324,74.0648768703627,28.4004411873867,0,1,0.999868594310094,0,0,0.428711659148919,78.4542336242521
144.94,0.978968944927745,0.97896894517671,0.978968945134446,185.024538467057,185.024538467057,60.2333442035617,82.4429524332583,74.1309787533728,28.4506072804256,0,1,0.99952428268679,0,0,0.428490581094105,78.4137763402212
144.95,0.979728581068978,0.979728581317136,0.979728581271743,182.911519407663,182.911519407663,59.6666314307235,80.2158359003032,74.1957662685033,28.4999172388566,0,1,0.999589064144096,0,0,0.423512692001983,77.5028226363628
144.96,0.980481766773729,0.980481767018362,0.98048176696982,184.091986858424,184.091986858424,59.107979213004,81.2837896128317,74.2596284612356,28.5485687843568,0,1,0.999336302216768,0,0,0.431267956485945,78.922036036928
144.97,0.981210236518089,0.981210236761439,0.981210236711728,185.771551969513,185.771551969513,58.571956804004,82.8553615239216,74.3209007834955,28.5952896620957,0,1,0.999162517024369,0,0,0.432247945230434,79.1013739771694
144.98,0.981931477113206,0.981931477355576,0.981931477303405,180.53718459336,180.53718459336,58.0420764480177,77.5144110422195,74.3812676747585,28.6415058763818,0,1,0.99968567296778,0,0,0.407226435478802,74.5224376926208
144.99,0.982642452399936,0.982642452640168,0.982642452587095,182.533410930031,182.533410930031,57.5214873797276,79.4058884048183,74.4405734551241,28.686949070089,0,1,0.999398554538448,0,0,0.425913134630262,77.9421036373379
145,0.983340813038061,0.983340813277178,0.983340813222836,180.37205391575,180.37205391575,57.0125355833288,77.1422020070872,74.4984439147958,28.7314079938667,0,1,0.999609971555757,0,0,0.401174436279168,73.4149218390878
145.01,0.983937028597749,0.983937028835107,0.983937028776829,180.914134268735,180.914134268735,56.5723160747819,77.5964532435599,74.5478165313946,28.7698644937803,0,1,0.999456891782271,0,0,0.404664909360691,74.0536784130064
145.02,0.984543300040489,0.984543300276151,0.984543300217899,184.633148313043,184.633148313043,56.1292889537138,81.2268885420806,74.5976605540218,28.8085992169404,0,1,0.999026994602616,0,0,0.435576811532494,79.7105565104465
145.03,0.985118769015784,0.985118769252259,0.985118769192959,182.403794444567,182.403794444567,55.7131547949336,78.9144270256683,74.6443648458847,28.8450025730139,0,1,0.999409069594736,0,0,0.407295475588088,74.5350720326202
145.04,0.985685217202188,0.985685217436637,0.985685217375938,185.111824083361,185.111824083361,55.3035600639575,81.5407185239838,74.6902518735737,28.8808536858036,0,1,0.99914781068902,0,0,0.423038492593382,77.4160441445889
145.05,0.986235260223098,0.986235260456132,0.986235260395001,181.669180326175,181.669180326175,54.9070020986457,78.0191170386345,74.7344853793457,28.9155779081951,0,1,0.999561175926489,0,0,0.409347753170546,74.9106388302099
145.06,0.986777976042966,0.986777976276558,0.986777976214708,181.536696364851,181.536696364851,54.5148785037687,77.8086701049346,74.7780963685604,28.9499298913562,0,1,0.999514308410936,0,0,0.415078697393232,75.9594016229615
145.07,0.987295934068061,0.987295934299452,0.987295934235955,184.101213032961,184.101213032961,54.1446804298531,80.2995822041242,74.8192511640073,28.9823796648295,0,1,0.999327299158505,0,0,0.405822457784168,74.2655097745027
145.08,0.987818634994355,0.987818635224412,0.987818635161275,183.263589113993,183.263589113993,53.7708859238872,79.3877127294552,74.8607162651216,29.0151601194166,0,1,0.999416947416574,0,0,0.418629709069163,76.6092367596569
145.09,0.988313206808625,0.988313207038549,0.98831320697408,183.197021298411,183.197021298411,53.4184424227873,79.251308200978,74.8996345533166,29.0460785441167,0,1,0.999465548851161,0,0,0.415888877057744,76.1076645015671
145.1,0.988790301952754,0.988790302181171,0.988790302116804,186.827718409148,186.827718409148,53.0799197379637,82.8149826584147,74.9369467774106,29.0757889733226,0,1,0.999128588541389,0,0,0.440559399243514,80.6223700615631
145.11,0.989239294198022,0.989239294425829,0.989239294361319,186.34676928718,186.34676928718,52.7649743600015,82.2718071547703,74.9715234059189,29.1034387264908,0,1,0.999369341920814,0,0,0.425528198045944,77.8716602424077
145.12,0.989688493877363,0.989688494104572,0.98968849403956,184.253233509805,184.253233509805,52.4470181705883,80.115619768575,75.0062542467682,29.1313594944617,0,1,0.999592465737521,0,0,0.432145512508467,79.0826287890494
145.13,0.990109070346622,0.990109070573138,0.990109070508685,184.889350820097,184.889350820097,52.1515770519918,80.6936620872619,75.038379094353,29.1573096384824,0,1,0.999612261577568,0,0,0.411686497978963,75.3386291301502
145.14,0.990531627061379,0.990531627285205,0.990531627220666,183.104883419588,183.104883419588,51.8528526188333,78.8505960687248,75.0707322289172,29.1835551219464,0,1,0.999774153599724,0,0,0.40836163224519,74.7301787008697
