t,Va_pu,Vb_pu,Vc_pu,P_meas_MW,P_total_MW,Q_total_Mvar,P_it_MW,P_cool_MW,P_aux_MW,ups_state,soc,vdc_pu,P_batt_MW,cool_stall,P_ai_pu,P_it_served_MW
261.99,1.01852011997292,1.01852011979749,1.01852011994082,68.308648880193,68.308648880193,10.7111843994724,19.4938167723439,28.1229145998719,20.6919175079771,0,0.998170582656102,0.999972663203554,-0,0,0.16062958712415,19.9180688033946
262,1.01833567461503,1.0183356744432,1.01833567458895,79.8861508774375,79.8861508774375,10.7068592997365,31.0832417548915,28.1183593739948,20.6845497485512,0,0.998170582656102,0.998788796514469,-0,0,0.294852908214413,36.5617606185872
262.01,1.01809406470061,1.01809406452859,1.01809406467784,85.0356498893691,85.0356498893691,10.7011751178666,36.2487766030682,28.1131542639717,20.6737190223292,0,0.998170582656102,0.999174564816754,-0,0,0.267908564780853,33.2206620328258
262.02,1.0179219057948,1.01792190561783,1.01792190576958,84.2508979958178,84.2508979958178,10.6971724885876,35.4753623779947,28.1095870894838,20.6659485283392,0,0.998170582656102,0.999611340544239,-0,0,0.275284902610189,34.1353279236635
262.03,1.01772594226033,1.01772594210225,1.01772594225323,84.5043287576919,84.5043287576919,10.6926475494089,35.7415793059987,28.1054888936774,20.6572605580157,0,0.998170582656102,0.999792246428761,-0,0,0.278322121953115,34.5119431221863
262.04,1.01753608720075,1.01753608704847,1.01753608720346,82.2214269044491,82.2214269044491,10.6882919562647,33.4709881177514,28.1015510876506,20.6488876990471,0,0.998170582656102,1.00012325125454,-0,0,0.254931087918941,31.6114549019487
262.05,1.0173402317663,1.01734023160933,1.01734023176959,80.3906288275295,80.3906288275295,10.6838209452525,31.6527591393958,28.0973646117353,20.6405050763985,0,0.998170582656102,1.00021967180444,-0,0,0.245682595485917,30.4646418402538
262.06,1.01715401678868,1.01715401664903,1.01715401680523,80.9065215526655,80.9065215526655,10.6796118218073,32.1804844390238,28.0934231387461,20.6326139748957,0,0.998170582656102,1.00007270900982,-0,0,0.254253343999362,31.5274146559208
262.07,1.01696269034852,1.01696269020949,1.01696269036931,78.2370917698655,78.2370917698655,10.6752802797226,29.523220552902,28.0893443036942,20.6245269132693,0,0.998170582656102,1.00029526042991,-0,0,0.22522198563031,27.9275262181585
262.08,1.01678562396392,1.01678562382073,1.01678562398682,79.113975959069,79.113975959069,10.6713193882584,30.4112096819625,28.0855722133872,20.6171940637193,0,0.998170582656102,1.00007457177237,-0,0,0.239739941804777,29.7277527837923
262.09,1.01661004691571,1.01661004679831,1.01661004695567,79.3985511561224,79.3985511561224,10.6674023681577,30.7067903691706,28.0818926271501,20.6098681598016,0,0.998170582656102,1.00002341338742,-0,0,0.241869785335426,29.9918533815928
262.1,1.01643865362565,1.01643865351429,1.01643865367552,77.9576617280522,77.9576617280522,10.6635857515889,29.276610305846,28.0782776393589,20.6027737828473,0,0.998170582656102,1.00011435647912,-0,0,0.231829529315909,28.7468616351727
262.11,1.01627001018121,1.0162700100623,1.0162700102313,78.06006497554,78.06006497554,10.6598516744602,29.389510345256,28.0747818996497,20.5957727306344,0,0.998170582656102,1.00011297843849,-0,0,0.221742950058772,27.4961258072878
