22.294 09-16-2026 12:09:06 RAM 1752/7486MB (lfb 13x4MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.312C/44.75C soc2@44.25C/44.531C soc0@44.875C/45.156C gpu@44.468C/44.937C tj@44.875C/45.156C soc1@43.875C/43.937C VDD_IN 3617mW/3620mW/3818mW VDD_CPU_GPU_CV 482mW/528mW/602mW VDD_SOC 1085mW/1112mW/1125mW
22.803 09-16-2026 12:09:07 RAM 1752/7486MB (lfb 13x4MB) CPU [1%@729,3%@729,3%@729,9%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.437C/44.75C soc2@44.375C/44.531C soc0@44.75C/45.156C gpu@44.562C/44.937C tj@44.937C/45.156C soc1@43.781C/43.937C VDD_IN 3577mW/3619mW/3818mW VDD_CPU_GPU_CV 482mW/527mW/602mW VDD_SOC 1125mW/1113mW/1125mW
23.309 09-16-2026 12:09:07 RAM 1752/7486MB (lfb 13x4MB) CPU [0%@1344,5%@1344,5%@1344,9%@1344,0%@1113,0%@1113] GR3D_FREQ 0% cpu@44.812C/44.812C soc2@44.406C/44.531C soc0@44.812C/45.156C gpu@44.531C/44.937C tj@44.812C/45.156C soc1@43.812C/43.937C VDD_IN 3577mW/3618mW/3818mW VDD_CPU_GPU_CV 522mW/527mW/602mW VDD_SOC 1125mW/1113mW/1125mW
23.815 09-16-2026 12:09:08 RAM 1752/7486MB (lfb 13x4MB) CPU [9%@729,18%@729,5%@729,11%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@44.687C/44.812C soc2@44.375C/44.531C soc0@44.843C/45.156C gpu@44.656C/44.937C tj@44.843C/45.156C soc1@43.718C/43.937C VDD_IN 3617mW/3618mW/3818mW VDD_CPU_GPU_CV 522mW/527mW/602mW VDD_SOC 1125mW/1113mW/1125mW
24.321 09-16-2026 12:09:08 RAM 1752/7486MB (lfb 13x4MB) CPU [7%@729,12%@729,0%@729,9%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@44.531C/44.812C soc2@44.375C/44.531C soc0@44.812C/45.156C gpu@44.531C/44.937C tj@44.812C/45.156C soc1@43.718C/43.937C VDD_IN 3577mW/3617mW/3818mW VDD_CPU_GPU_CV 522mW/527mW/602mW VDD_SOC 1125mW/1113mW/1125mW
24.827 09-16-2026 12:09:09 RAM 1752/7486MB (lfb 13x4MB) CPU [3%@729,2%@729,0%@729,2%@729,2%@729,0%@729] GR3D_FREQ 0% cpu@44.437C/44.812C soc2@44.312C/44.531C soc0@44.812C/45.156C gpu@44.906C/44.937C tj@44.812C/45.156C soc1@43.781C/43.937C VDD_IN 3617mW/3617mW/3818mW VDD_CPU_GPU_CV 522mW/527mW/602mW VDD_SOC 1125mW/1114mW/1125mW
25.333 09-16-2026 12:09:09 RAM 1752/7486MB (lfb 13x4MB) CPU [1%@729,5%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.562C/44.812C soc2@44.343C/44.531C soc0@45C/45.156C gpu@44.593C/44.937C tj@44.843C/45.156C soc1@43.781C/43.937C VDD_IN 3577mW/3616mW/3818mW VDD_CPU_GPU_CV 522mW/527mW/602mW VDD_SOC 1085mW/1113mW/1125mW
25.839 09-16-2026 12:09:10 RAM 1752/7486MB (lfb 13x4MB) CPU [0%@729,2%@729,0%@729,3%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.375C/44.812C soc2@44.437C/44.531C soc0@44.875C/45.156C gpu@44.906C/44.937C tj@44.906C/45.156C soc1@43.875C/43.937C VDD_IN 3577mW/3615mW/3818mW VDD_CPU_GPU_CV 522mW/527mW/602mW VDD_SOC 1125mW/1113mW/1125mW
26.345 09-16-2026 12:09:10 RAM 1752/7486MB (lfb 13x4MB) CPU [0%@729,10%@729,2%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.593C/44.812C soc2@44.343C/44.531C soc0@44.843C/45.156C gpu@44.562C/44.937C tj@44.843C/45.156C soc1@43.781C/43.937C VDD_IN 3617mW/3615mW/3818mW VDD_CPU_GPU_CV 522mW/527mW/602mW VDD_SOC 1125mW/1113mW/1125mW
26.851 09-16-2026 12:09:11 RAM 1752/7486MB (lfb 13x4MB) CPU [13%@729,8%@729,4%@729,6%@729,1%@729,0%@729] GR3D_FREQ 0% cpu@44.593C/44.812C soc2@44.343C/44.531C soc0@44.875C/45.156C gpu@44.843C/44.937C tj@44.875C/45.156C soc1@43.656C/43.937C VDD_IN 3617mW/3615mW/3818mW VDD_CPU_GPU_CV 562mW/527mW/602mW VDD_SOC 1125mW/1114mW/1125mW
27.357 09-16-2026 12:09:11 RAM 1752/7486MB (lfb 13x4MB) CPU [2%@729,2%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.437C/44.812C soc2@44.343C/44.531C soc0@45C/45.156C gpu@44.718C/44.937C tj@45C/45.156C soc1@43.75C/43.937C VDD_IN 3617mW/3616mW/3818mW VDD_CPU_GPU_CV 522mW/527mW/602mW VDD_SOC 1125mW/1114mW/1125mW
27.863 09-16-2026 12:09:12 RAM 1752/7486MB (lfb 13x4MB) CPU [4%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.406C/44.812C soc2@44.312C/44.531C soc0@44.906C/45.156C gpu@44.875C/44.937C tj@44.906C/45.156C soc1@43.843C/43.937C VDD_IN 3577mW/3615mW/3818mW VDD_CPU_GPU_CV 522mW/527mW/602mW VDD_SOC 1125mW/1114mW/1125mW
28.369 09-16-2026 12:09:12 RAM 1752/7486MB (lfb 13x4MB) CPU [1%@729,0%@729,0%@729,2%@729,0%@729,1%@729] GR3D_FREQ 0% cpu@44.593C/44.812C soc2@44.281C/44.531C soc0@44.937C/45.156C gpu@44.718C/44.937C tj@44.937C/45.156C soc1@43.812C/43.937C VDD_IN 3577mW/3614mW/3818mW VDD_CPU_GPU_CV 482mW/526mW/602mW VDD_SOC 1085mW/1114mW/1125mW
28.875 09-16-2026 12:09:13 RAM 1752/7486MB (lfb 13x4MB) CPU [2%@729,2%@729,3%@729,5%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.656C/44.812C soc2@44.437C/44.531C soc0@44.875C/45.156C gpu@44.593C/44.937C tj@44.875C/45.156C soc1@43.812C/43.937C VDD_IN 3617mW/3614mW/3818mW VDD_CPU_GPU_CV 482mW/525mW/602mW VDD_SOC 1085mW/1113mW/1125mW
29.380 09-16-2026 12:09:13 RAM 1752/7486MB (lfb 13x4MB) CPU [2%@729,9%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@44.625C/44.812C soc2@44.406C/44.531C soc0@44.968C/45.156C gpu@44.687C/44.937C tj@44.968C/45.156C soc1@43.75C/43.937C VDD_IN 3577mW/3614mW/3818mW VDD_CPU_GPU_CV 482mW/525mW/602mW VDD_SOC 1085mW/1113mW/1125mW
29.887 09-16-2026 12:09:14 RAM 1753/7486MB (lfb 13x4MB) CPU [9%@729,17%@729,2%@729,6%@729,0%@729,2%@729] GR3D_FREQ 0% cpu@44.5C/44.812C soc2@44.218C/44.531C soc0@45.156C/45.156C gpu@44.656C/44.937C tj@45.156C/45.156C soc1@43.687C/43.937C VDD_IN 3617mW/3614mW/3818mW VDD_CPU_GPU_CV 522mW/525mW/602mW VDD_SOC 1125mW/1113mW/1125mW
